,column,score
2,product_type,35.8041576407
137,big_church_count_500,33.4626341245
272,deposits_value,31.8943256347
257,gdp_deflator,31.8044261816
264,gdp_annual,31.7841880056
194,cafe_count_2000_price_500,31.6407423304
203,leisure_count_2000,31.5775654387
217,cafe_count_3000_price_500,31.0157509008
136,cafe_count_500_price_high,30.7325488953
195,cafe_count_2000_price_1000,30.3597894108
171,cafe_count_1500_price_500,30.2137928637
176,cafe_count_1500_price_high,30.1906111012
155,cafe_count_1000_price_4000,30.0454718347
151,cafe_count_1000_price_500,30.0408333541
281,fixed_basket,29.9868875163
189,cafe_count_2000,29.950309343
289,invest_fixed_assets,29.8573472153
305,turnover_catering_per_cap,29.8436690023
218,cafe_count_3000_price_1000,29.8289035746
226,leisure_count_3000,29.7589554043
318,leisure_count_calibration,29.7322932956
212,cafe_count_3000,29.6518304309
288,invest_fixed_capital_per_cap,29.6120402805
199,cafe_count_2000_price_high,29.4121021429
276,mortgage_growth,29.3879149486
216,cafe_count_3000_na_price,29.2544144699
220,cafe_count_3000_price_2500,29.2158170524
154,cafe_count_1000_price_2500,29.1081031678
169,cafe_count_1500,28.9796751551
312,cafe_count_calibration,28.974718207
311,timestamp_r,28.928664722
193,cafe_count_2000_na_price,28.7675256809
172,cafe_count_1500_price_1000,28.7026349319
173,cafe_count_1500_price_1500,28.6778948362
196,cafe_count_2000_price_1500,28.5222848172
157,big_church_count_1000,28.4847204522
149,cafe_count_1000,28.3311331783
180,leisure_count_1500,28.0881194811
158,church_count_1000,28.0803135504
255,cpi,27.97373031
219,cafe_count_3000_price_1500,27.9224372869
175,cafe_count_1500_price_4000,27.8820402305
198,cafe_count_2000_price_4000,27.6668827064
324,count_all,27.5122340966
197,cafe_count_2000_price_2500,27.4464927665
138,church_count_500,27.4141271861
221,cafe_count_3000_price_4000,27.1521432296
134,cafe_count_500_price_2500,26.8687117996
177,big_church_count_1500,26.7917736565
279,salary,26.717938511
263,net_capital_export,26.2114987519
174,cafe_count_1500_price_2500,26.0595966684
315,big_church_count_calibration,25.8671834918
316,church_count_calibration,25.7859088914
307,bandwidth_sports,25.7738727073
254,gdp_quart_growth,25.7233683484
208,office_count_3000,25.6473011477
129,cafe_count_500,25.6314559883
178,church_count_1500,25.5842987317
200,big_church_count_2000,25.476913428
291,childbirth,25.2365122217
160,leisure_count_1000,25.2070287627
256,ppi,24.714399742
301,load_of_teachers_school_per_teacher,24.6529899055
201,church_count_2000,24.5844807251
152,cafe_count_1000_price_1000,24.5714791417
224,church_count_3000,24.4640783916
222,cafe_count_3000_price_high,24.2370589111
285,labor_force,24.1882827169
153,cafe_count_1000_price_1500,24.0094415709
130,cafe_count_500_na_price,23.9116916389
150,cafe_count_1000_na_price,23.8586020498
131,cafe_count_500_price_500,23.6666440026
185,office_count_2000,23.464986195
17,culture_objects_top_25_raion,23.2835986007
282,retail_trade_turnover,23.1295274147
170,cafe_count_1500_na_price,23.0101760258
313,office_count_calibration,22.8597387213
223,big_church_count_3000,22.645093759
24,railroad_terminal_raion,22.5757612305
135,cafe_count_500_price_4000,22.547625437
271,micex_cbi_tr,22.131579694
277,mortgage_rate,21.9942918638
265,gdp_annual_growth,21.7157193955
283,retail_trade_turnover_per_cap,21.3843512213
303,provision_nurse,21.2963916322
253,gdp_quart,21.1901656037
261,eurrub,21.1067931544
293,average_life_exp,21.0962994882
290,pop_natural_increase,20.7918351788
165,office_count_1500,20.5892821909
133,cafe_count_500_price_1500,20.2708272706
260,usdrub,20.1878780922
268,rts,18.2210886976
125,office_count_500,18.1193036732
287,employment,18.053185354
242,cafe_count_5000_price_1500,17.9232389682
241,cafe_count_5000_price_1000,17.7662772784
240,cafe_count_5000_price_500,17.7108389498
235,cafe_count_5000,17.6860028504
247,church_count_5000,17.6649634015
243,cafe_count_5000_price_2500,17.4670831228
145,office_count_1000,17.456394978
245,cafe_count_5000_price_high,17.1698816193
249,leisure_count_5000,16.8752004888
246,big_church_count_5000,16.7744805053
239,cafe_count_5000_na_price,16.6774962444
114,additional_education_km,16.6544028098
128,trc_sqm_500,16.4567416868
231,office_count_5000,16.104827665
19,office_raion,16.056071691
156,cafe_count_1000_price_high,15.3683649882
147,trc_count_1000,15.3058044041
262,brent,15.1704814842
244,cafe_count_5000_price_4000,15.102517249
252,oil_urals,14.8981678153
55,ID_metro,14.8031368614
187,trc_count_2000,14.7259780012
132,cafe_count_500_price_1000,14.6912740332
314,trc_count_calibration,14.5541642999
284,retail_trade_turnover_growth,13.5091569462
266,average_provision_of_build_contract,13.141492533
209,office_sqm_3000,13.058530476
122,catering_km,12.7556874777
280,salary_growth,12.4166136964
148,trc_sqm_1000,12.1622534002
210,trc_count_3000,12.1278138454
15,additional_education_raion,11.9927469252
296,rent_price_2room_bus,11.9342483301
298,rent_price_3room_eco,11.6733957929
258,balance_trade,11.3683027755
227,sport_count_3000,11.1525290788
204,sport_count_2000,10.7832415448
274,deposits_rate,10.7063299322
232,office_sqm_5000,10.213833972
319,sport_count_calibration,10.0143701912
202,mosque_count_2000,9.993098665
304,load_on_doctors,9.97128729605
182,market_count_1500,9.8688361457
225,mosque_count_3000,9.58641417924
270,micex_rgbi_tr,9.43570067763
295,rent_price_3room_bus,9.24896284351
167,trc_count_1500,9.0599117086
236,cafe_sum_5000_min_price_avg,8.78992791807
233,trc_count_5000,8.7442821858
309,sub_area_code,8.7051654375
238,cafe_avg_price_5000,8.62485993481
237,cafe_sum_5000_max_price_avg,8.50264316632
317,mosque_count_calibration,8.36213215692
320,market_count_calibration,8.3265350564
18,shopping_centers_raion,8.11990352249
250,sport_count_5000,7.73003087447
286,unemployment,7.66750921945
11,school_education_centers_top_20_raion,7.28890587051
121,exhibition_km,7.22668325918
101,market_shop_km,7.15405853068
211,trc_sqm_3000,7.02933158654
13,university_top_20_raion,6.82077108633
56,metro_min_avto,6.66385226432
162,market_count_1000,6.6354926922
186,office_sqm_2000,6.47659836372
181,sport_count_1500,6.35744158695
21,incineration_raion,6.35408701075
57,metro_km_avto,6.29142728712
20,thermal_power_plant_raion,6.13860224507
188,trc_sqm_2000,6.08021862987
234,trc_sqm_5000,6.01305036646
126,office_sqm_500,5.88217767119
228,market_count_3000,5.75918457329
64,industrial_km,5.66983825417
58,metro_min_walk,5.51049067789
59,metro_km_walk,5.51049067702
230,prom_part_5000,5.35396377716
82,kremlin_km,5.29717098182
269,micex,5.27465911437
310,ecology_code,4.88774461809
205,market_count_2000,4.88592257703
146,office_sqm_1000,4.78432009459
127,trc_count_500,4.65207224486
275,mortgage_value,4.61375795982
294,rent_price_4+room_bus,4.61170031774
81,bulvar_ring_km,4.42232200257
299,rent_price_2room_eco,4.30299291807
300,rent_price_1room_eco,4.24346661532
161,sport_count_1000,4.21070931735
92,bus_terminal_avto_km,4.18017578576
142,market_count_500,3.90034129657
35,work_male,3.89260207206
105,stadium_km,3.78998877154
248,mosque_count_5000,3.77306332315
85,big_road1_1line,3.75641340812
297,rent_price_1room_bus,3.74668791814
111,workplaces_km,3.66607544711
16,culture_objects_top_25,3.46712537909
10,school_education_centers_raion,3.44452610994
63,green_zone_km,3.41046917741
80,sadovoe_km,3.40146155334
67,incineration_km,3.40128402879
60,kindergarten_km,3.30770943685
99,ts_km,3.26585446495
27,detention_facility_raion,3.03083283065
118,mosque_km,3.02097676424
62,park_km,3.0017459507
84,ID_big_road1,2.99597367389
34,work_all,2.9389481085
164,prom_part_1500,2.85741753067
323,prom_part_calibration,2.80859755093
179,mosque_count_1500,2.73261786896
117,church_synagogue_km,2.66827272302
6,indust_part,2.66233853653
166,office_sqm_1500,2.65125048971
168,trc_sqm_1500,2.50735087526
51,16_29_female,2.47107118328
4,raion_popul,2.45279968227
29,male_f,2.44593905386
28,full_all,2.4312590042
184,prom_part_2000,2.42478776361
30,female_f,2.41703509457
183,green_part_2000,2.40851219789
49,16_29_all,2.38792272461
26,nuclear_reactor_raion,2.37724394716
50,16_29_male,2.29719713307
163,green_part_1500,2.25394882584
23,radiation_raion,2.17670499877
141,sport_count_500,2.14942243177
206,green_part_3000,2.13579773842
113,office_km,2.08664593349
36,work_female,2.05411185262
140,leisure_count_500,2.05020072282
87,ID_big_road2,2.04910178422
322,green_part_calibration,2.01714125783
106,basketball_km,1.97240837103
144,prom_part_1000,1.95432999411
8,preschool_education_centers_raion,1.93762914489
100,big_market_km,1.91195447275
39,ekder_female,1.84549602372
159,mosque_count_1000,1.83228766576
22,oil_chemistry_raion,1.8144927658
207,prom_part_3000,1.80947184525
41,0_6_male,1.79888754871
96,radiation_km,1.76828020176
37,ekder_all,1.72782149923
124,prom_part_500,1.66881327911
66,cemetery_km,1.50186738136
143,green_part_1000,1.48973283429
90,zd_vokzaly_avto_km,1.47731595945
47,0_17_male,1.47129656372
38,ekder_male,1.40089034165
79,ttk_km,1.37011244759
89,railroad_1line,1.34177298676
93,ID_bus_terminal,1.31124634526
40,0_6_all,1.27978777071
7,children_preschool,1.27978777071
53,0_13_male,1.27256681585
32,young_male,1.26630991305
74,public_transport_station_km,1.18301787895
75,public_transport_station_min_walk,1.18301786467
302,students_state_oneshift,1.15905661635
14,sport_objects_raion,1.12259192834
46,0_17_all,1.07646912345
98,thermal_power_plant_km,1.06131926732
97,power_transmission_line_km,0.977569367982
70,ID_railroad_station_walk,0.947463438419
31,young_all,0.887842462266
65,water_treatment_km,0.857065069891
52,0_13_all,0.84410432766
42,0_6_female,0.81002521456
213,cafe_sum_3000_min_price_avg,0.801925720402
44,7_14_male,0.778466968826
83,big_road1_km,0.75637135282
278,income_per_cap,0.727349362164
48,0_17_female,0.716074003324
215,cafe_avg_price_3000,0.713705498857
73,ID_railroad_station_avto,0.709553351908
103,swim_pool_km,0.659938775015
214,cafe_sum_3000_max_price_avg,0.658133249382
69,railroad_station_walk_min,0.640293356017
68,railroad_station_walk_km,0.640293355894
71,railroad_station_avto_km,0.564624075167
33,young_female,0.551352913396
120,museum_km,0.515786150711
9,children_school,0.509182112813
43,7_14_all,0.509182112813
54,0_13_female,0.477067788222
88,railroad_km,0.473918070672
273,deposits_growth,0.445000655988
112,shopping_centers_km,0.433166673078
229,green_part_5000,0.391355562694
107,hospice_morgue_km,0.34257088443
123,green_part_500,0.32452847695
86,big_road2_km,0.312746450863
45,7_14_female,0.281969775093
25,big_market_raion,0.276355715858
61,school_km,0.273301298374
108,detention_facility_km,0.2427905889
91,ID_railroad_terminal,0.238263621247
116,big_church_km,0.235153718463
115,preschool_km,0.233557494807
139,mosque_count_500,0.218723120568
191,cafe_sum_2000_max_price_avg,0.206478013181
72,railroad_station_avto_min,0.187954899502
95,nuclear_reactor_km,0.187765992362
77,water_1line,0.185756998857
306,seats_theather_rfmin_per_100000_cap,0.159142265554
267,average_provision_of_build_contract_moscow,0.145064797723
192,cafe_avg_price_2000,0.144458291802
321,cafe_avg_price_calibration,0.132305255164
76,water_km,0.128114383439
109,public_healthcare_km,0.101718536212
78,mkad_km,0.0765731209647
190,cafe_sum_2000_min_price_avg,0.0690880251482
1,floor,0.068151846935
102,fitness_km,0.0525660875328
308,apartment_fund_sqm,0.0516470586642
94,oil_chemistry_km,0.0503149287442
12,healthcare_centers_raion,0.0495476150952
104,ice_rink_km,0.0359929299837
0,full_sq,0.0185318648989
292,mortality,0.00972343256737
259,balance_trade_growth,0.00821532330203
5,green_zone_part,0.00256007059943
3,area_m,0.00199198981653
251,market_count_5000,0.00167183647466
110,university_km,0.00136083070938
119,theater_km,5.63839230962e-05
